id	title	description	link	image_link	brand	condition	availability	price	short_description	product_type	google_product_category	gender
2860	Indigo Clamp dyed Cotton Mul Saree	This Saree is handmade and hand dyed, you may find certain irregularity in the design. This only adds to the unique charm of this garment.    NOTE: This product does not include the crop top, top is available for purchase separately	https://www.chidiyaa.com/indigo-clamp-dyed-cotton-mul-saree-2896.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_7949.jpg	Chidiyaa	new	in stock	48.00 USD	Inspired by the rain sky.. Presenting Indigo Clamp dyed Cotton Mul Saree. These sarees are handcrafted in the softest mulmul and dyed in natural Indigo. Paired with our crop tops for the signature look..	Ajrakh Love > Shop > Sarees | Ajrakh Love > The Rain Sky		
2940	Blue Block Printed Lined Kali Dress	Being block-printed, the textile may have slight irregularities in colors and prints. These irregularities are the hallmark of all block-printed product and make each exquisite piece one-of-its-kind	https://www.chidiyaa.com/blue-block-printed-lined-kali-dress.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_5569_2.jpg	Chidiyaa	new	in stock	36.00 USD	Inspired by the lush green valley surrounded by the beautiful mountains, we bring you Blue Block Printed Lined Kali Dress from our Blue Valley Collection.. The collection is hand block printed in our signature motifs on soft cotton..	Ajrakh Love > Shop > Dresses | Ajrakh Love > Indigo Love		
2969	FIROZA TIEUP SKIRT	Being block-printed, the textile may have slight irregularities in colors and prints. These irregularities are the hallmark of all block-printed product and make each exquisite piece one-of-its-kind	https://www.chidiyaa.com/firoza-tieup-skirt.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_8920.jpg	Chidiyaa	new	in stock	41.00 USD	The evening sky was as green as Jade, As Emerald turf by Lotus lake, Behind the Kafila far she strayed, The Pearls are lost if the Necklace break! - Firoza by Laurence Hope    Handcrafted in the softest cotton with beautiful blockprinted motifs of jade and pink and just a hint of gold..	Ajrakh Love > Shop > Kurtis & Bottoms > Skirts & Pants | Ajrakh Love > Firoza		
2974	FIROZA FLORAL KURTI	Being block-printed, the textile may have slight irregularities in colors and prints. These irregularities are the hallmark of all block-printed product and make each exquisite piece one-of-its-kind	https://www.chidiyaa.com/firoza-floral-kurti.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_8853.jpg	Chidiyaa	new	in stock	35.00 USD	The evening sky was as green as Jade, As Emerald turf by Lotus lake, Behind the Kafila far she strayed, The Pearls are lost if the Necklace break! - Firoza by Laurence Hope    Handcrafted in the softest cotton with beautiful blockprinted motifs of jade and pink and just a hint of gold..	Ajrakh Love > Shop > Kurtis & Bottoms | Ajrakh Love > Firoza		
3000	BLACK AND IVORY JAL BLOCK PRINTED CROP TOP BLOUSE	This products is handprinted and hand dyed, you may find certain irregularities in the pattern, this is trademark to all handprinted products and only adds to its unique charm ..	https://www.chidiyaa.com/black-and-ivory-jal-block-printed-crop-top.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_8551_3.jpg	Chidiyaa	new	in stock	23.00 USD	Drapes creating the old world charm.. For the yesterdays unforgotten.. We bring you Black And Ivory Jal Block Printed Crop Top Blouse . Beautifully block printed, perfect when teamed with our Signature Sarees..	Ajrakh Love > Good Old Days | Ajrakh Love > Shop > Blouses		
3006	BLACK BLOCKPRINTED CROP TOP BLOUSE	This products is handprinted and hand dyed, you may find certain irregularities in the pattern, this is trademark to all handprinted products and only adds to its unique charm ..	https://www.chidiyaa.com/black-blockprinted-crop-top.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_8639_2.jpg	Chidiyaa	new	in stock	23.00 USD	Black Printed Crop Top Blouse. Beautifully block printed, perfect when teamed with our Signature Sarees..	Ajrakh Love > Good Old Days | Ajrakh Love > Shop > Blouses		
3011	BLACK AND IVORY JAL BLOCK PRINTED CROP TOP BLOUSE	This products is handprinted and hand dyed, you may find certain irregularities in the pattern, this is trademark to all handprinted products and only adds to its unique charm ..	https://www.chidiyaa.com/black-and-ivory-jal-block-printed-crop-top-3051.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_8714_2.jpg	Chidiyaa	new	in stock	23.00 USD	Drapes creating the old world charm.. For the yesterdays unforgotten.. We bring you Black And Ivory Jal Block Printed Crop Top Blouse . Beautifully block printed, perfect when teamed with our Signature Sarees..	Ajrakh Love > Good Old Days | Ajrakh Love > Shop > Blouses		
3018	RED BLOCK PRINTED CROP TOP BLOUSE	This products is handprinted and hand dyed, you may find certain irregularities in the pattern, this is trademark to all handprinted products and only adds to its unique charm ..	https://www.chidiyaa.com/red-blockprinted-crop-top.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_8777_3.jpg	Chidiyaa	new	in stock	23.00 USD	Red Printed Crop Top Blouse. Beautifully block printed, perfect when teamed with our Signature Sarees..	Ajrakh Love > Good Old Days | Ajrakh Love > Shop > Blouses		
3025	Ivory Black Block Printed Cotton Mul Saree	This Saree is handmade and hand block printed, you may find certain irregularity in the print. This only adds to the unique charm of this garment.    NOTE: This product does not include the crop top, top is available for purchase separately	https://www.chidiyaa.com/ivory-black-block-printed-cotton-mul-saree.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_8586.jpg	Chidiyaa	new	in stock	48.00 USD	Drapes creating the old world charm.. For the yesterdays unforgotten.. We bring you 'Good Old Days' our collection of blockprinted mulmul sarees and crop tops to relive the yesterday in..	Ajrakh Love > Shop > Sarees | Ajrakh Love > Good Old Days		
3026	Ivory Black Block Printed Cotton Mul Saree	This Saree is handmade and hand block printed, you may find certain irregularity in the print. This only adds to the unique charm of this garment.    NOTE: This product does not include the crop top, top is available for purchase separately	https://www.chidiyaa.com/ivory-black-block-printed-cotton-mul-saree-3124.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_8605_2.jpg	Chidiyaa	new	in stock	48.00 USD	Drapes creating the old world charm.. For the yesterdays unforgotten.. We bring you 'Good Old Days' our collection of blockprinted  cotton mulmul sarees and crop tops to relive the yesterday in..	Ajrakh Love > Shop > Sarees | Ajrakh Love > Good Old Days		
